Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.64,0.05
kexAB (s^-1),3004,112
R1 (s^-1),1.53,0.08
R2 (s^-1),27.60,0.16
Red. Chi-sq,0.12
