Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),3.43,0.04
kexAB (s^-1),1773,46
R1 (s^-1),1.88,0.07
R2 (s^-1),14.93,0.14
Red. Chi-sq,0.14
