Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),4.27,4.27
kexAB (s^-1),10924,37354
R1 (s^-1),0.98,0.10
R2 (s^-1),32.19,0.27
Red. Chi-sq,0.18
