Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),-2.03,2.82
kexAB (s^-1),1919,7937
R1 (s^-1),3.47,0.15
R2 (s^-1),31.64,0.63
Red. Chi-sq,2.33
