Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.14,0.32
kexAB (s^-1),2313,481
R1 (s^-1),2.34,0.09
R2 (s^-1),23.84,0.16
Red. Chi-sq,0.29
