Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.11,0.06
kexAB (s^-1),4595,412
R1 (s^-1),3.58,0.24
R2 (s^-1),11.71,0.90
Red. Chi-sq,2.24
