Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.97,0.06
kexAB (s^-1),4595,412
R1 (s^-1),3.10,0.20
R2 (s^-1),18.23,0.71
Red. Chi-sq,2.24
