Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.73,0.06
kexAB (s^-1),133,7
R1 (s^-1),2.44,0.09
R2 (s^-1),30.27,0.14
Red. Chi-sq,0.45
