Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.53,0.06
kexAB (s^-1),4248,311
R1 (s^-1),3.26,0.08
R2 (s^-1),23.83,0.33
Red. Chi-sq,0.39
