param,fitval,fiterror
pB,0.08000,0.00000
pC,-0.00000,0.00000
dwB,2.76015,0.00866
dwC,0.00000,0.00000
kexAB,10.46437,9.10843
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,2.97371,0.39788
R2,19.19323,0.30230
rchi2,36.89366,0.0
