Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),2.94,0.17
kexAB (s^-1),5017,488
R1 (s^-1),1.83,0.04
R2 (s^-1),33.62,0.19
Red. Chi-sq,0.54
