Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.74,0.06
kexAB (s^-1),2652,131
R1 (s^-1),1.36,0.12
R2 (s^-1),28.54,0.23
Red. Chi-sq,0.18
