Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),3.79,0.05
kexAB (s^-1),2339,101
R1 (s^-1),1.01,0.26
R2 (s^-1),19.45,0.45
Red. Chi-sq,0.42
