Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),3.02,0.06
kexAB (s^-1),2339,101
R1 (s^-1),2.04,0.28
R2 (s^-1),26.91,0.50
Red. Chi-sq,0.42
