Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),1.74,0.07
kexAB (s^-1),4799,281
R1 (s^-1),1.92,0.14
R2 (s^-1),26.05,0.44
Red. Chi-sq,0.47
