Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),1.95,0.07
kexAB (s^-1),4799,281
R1 (s^-1),2.05,0.12
R2 (s^-1),16.19,0.44
Red. Chi-sq,0.47
