Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.499,0.013
dwB (ppm),3.30,0.07
kexAB (s^-1),2845,116
R1 (s^-1),1.39,0.07
R2 (s^-1),18.24,0.16
Red. Chi-sq,0.12
