Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.499,0.013
dwB (ppm),2.78,0.07
kexAB (s^-1),2845,116
R1 (s^-1),1.46,0.08
R2 (s^-1),27.79,0.16
Red. Chi-sq,0.12
