Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),1.80,0.11
kexAB (s^-1),3830,368
R1 (s^-1),2.28,0.13
R2 (s^-1),25.57,0.43
Red. Chi-sq,1.00
