Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),1.82,0.10
kexAB (s^-1),3830,368
R1 (s^-1),2.07,0.14
R2 (s^-1),16.68,0.37
Red. Chi-sq,1.00
