Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),0.51,0.05
kexAB (s^-1),1506,259
R1 (s^-1),1.55,0.04
R2 (s^-1),21.42,0.07
Red. Chi-sq,0.99
