Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),-1.32,0.08
kexAB (s^-1),1506,259
R1 (s^-1),2.06,0.02
R2 (s^-1),8.34,0.05
Red. Chi-sq,0.99
