Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.732,0.014
dwB (ppm),3.78,0.02
kexAB (s^-1),698,19
R1 (s^-1),2.85,0.03
R2 (s^-1),19.69,0.06
Red. Chi-sq,0.17
