Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.732,0.014
dwB (ppm),3.90,0.02
kexAB (s^-1),698,19
R1 (s^-1),2.22,0.03
R2 (s^-1),13.31,0.06
Red. Chi-sq,0.17
