delay(s),vol_rel
0.0,1.0
0.001,0.978624506614
0.002,0.0634859109337
0.003,-0.634865342622
0.004,-1.19371322185
0.005,-1.624578297
0.006,-1.97000429813
0.008,-2.44031275225
0.01,-2.70441421427
0.02,-3.12069141866
0.05,-3.14267791567
