Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.750,1.750
dwB (ppm),3.24,0.11
kexAB (s^-1),2524,179
R1 (s^-1),1.04,0.58
R2 (s^-1),30.09,1.02
Red. Chi-sq,1.63
