Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),3.89,0.56
kexAB (s^-1),2558,989
R1 (s^-1),2.17,0.16
R2 (s^-1),28.24,0.38
Red. Chi-sq,1.24
