Fit #1
g10c1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),2.28,0.12
kexAB (s^-1),6209,484
R1 (s^-1),3.86,0.36
R2 (s^-1),6.81,1.67
Red. Chi-sq,4.93
