Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),-1.40,0.09
kexAB (s^-1),1512,261
R1 (s^-1),2.06,0.02
R2 (s^-1),8.34,0.05
Red. Chi-sq,0.99
