Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.67,0.03
kexAB (s^-1),783,13
R1 (s^-1),4.55,0.04
R2 (s^-1),13.51,0.05
Red. Chi-sq,0.59
