delay(s),vol_rel
0.0,1.0
0.002,0.731951226394
0.004,0.320559481166
0.006,-0.0189096109636
0.008,-0.198461586442
0.01,-0.39861863561
0.013,-0.611734728732
0.016,-0.731720664849
0.02,-0.863912254439
0.025,-0.956643291216
0.03,-0.991417986919
0.05,-1.07200128907
0.5,-0.918073426241
0.7,-0.773646852482
1.0,-0.562089370259
