Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.76,0.02
kexAB (s^-1),664,7
R1 (s^-1),2.83,0.02
R2 (s^-1),19.75,0.06
Red. Chi-sq,0.16
