Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.91,0.02
kexAB (s^-1),664,7
R1 (s^-1),2.22,0.03
R2 (s^-1),13.37,0.06
Red. Chi-sq,0.16
