Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.84,0.08
kexAB (s^-1),4065,237
R1 (s^-1),3.20,0.06
R2 (s^-1),18.58,0.15
Red. Chi-sq,0.39
