Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.92,0.10
kexAB (s^-1),4065,237
R1 (s^-1),2.68,0.08
R2 (s^-1),12.48,0.21
Red. Chi-sq,0.39
