Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.19,0.01
kexAB (s^-1),890,182
R1 (s^-1),1.53,0.06
R2 (s^-1),7.87,0.11
Red. Chi-sq,0.71
