Fit #1
gc1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.71,0.02
kexAB (s^-1),29,2
R1 (s^-1),1.59,0.17
R2 (s^-1),18.47,0.20
Red. Chi-sq,1.50
