Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.14,0.01
kexAB (s^-1),29,2
R1 (s^-1),1.70,0.16
R2 (s^-1),27.94,0.22
Red. Chi-sq,1.50
