Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),5.02,1.25
kexAB (s^-1),3893,2271
R1 (s^-1),2.25,1.76
R2 (s^-1),37.05,4.02
Red. Chi-sq,13.76
