Date : 9/13/2019	Time : 22:10:17	
C:\UVWINLAB\DNA181U1.SP	
34.00	0.6586
34.20	0.6587
34.50	0.6586
34.70	0.6586
35.00	0.6588
35.20	0.6591
35.50	0.6588
35.70	0.6590
36.00	0.6589
36.20	0.6589
36.50	0.6590
36.70	0.6591
37.00	0.6593
37.20	0.6592
37.50	0.6593
37.70	0.6596
38.00	0.6596
38.20	0.6596
38.50	0.6600
38.70	0.6599
39.00	0.6603
39.20	0.6604
39.50	0.6605
39.70	0.6606
40.00	0.6608
40.20	0.6610
40.50	0.6613
40.70	0.6615
41.00	0.6617
41.20	0.6618
41.50	0.6619
41.70	0.6621
42.00	0.6624
42.20	0.6624
42.50	0.6627
42.70	0.6628
43.00	0.6630
43.20	0.6632
43.50	0.6634
43.70	0.6636
44.00	0.6640
44.20	0.6641
44.50	0.6645
44.70	0.6648
45.00	0.6652
45.20	0.6654
45.50	0.6656
45.70	0.6656
46.00	0.6661
46.20	0.6663
46.50	0.6670
46.70	0.6677
47.00	0.6679
47.20	0.6683
47.50	0.6686
47.70	0.6686
48.00	0.6696
48.20	0.6699
48.50	0.6701
48.70	0.6706
49.00	0.6713
49.20	0.6714
49.50	0.6721
49.70	0.6721
50.00	0.6732
50.20	0.6736
50.50	0.6744
50.70	0.6748
51.00	0.6757
51.20	0.6760
51.50	0.6770
51.70	0.6770
52.00	0.6783
52.20	0.6790
52.50	0.6797
52.70	0.6806
53.00	0.6815
53.20	0.6820
53.50	0.6832
53.70	0.6832
54.00	0.6850
54.20	0.6858
54.50	0.6870
54.70	0.6879
55.00	0.6892
55.20	0.6899
55.50	0.6916
55.70	0.6916
56.00	0.6939
56.20	0.6947
56.50	0.6962
56.70	0.6975
57.00	0.6993
57.20	0.7001
57.50	0.7019
57.70	0.7019
58.00	0.7047
58.20	0.7061
58.50	0.7080
58.70	0.7088
59.00	0.7108
59.20	0.7121
59.50	0.7145
59.70	0.7145
60.00	0.7175
60.20	0.7190
60.50	0.7209
60.70	0.7221
61.00	0.7241
61.20	0.7253
61.50	0.7273
61.70	0.7274
62.00	0.7306
62.20	0.7317
62.50	0.7337
62.70	0.7350
63.00	0.7365
63.20	0.7376
63.50	0.7396
63.70	0.7396
64.00	0.7420
64.20	0.7431
64.40	0.7440
64.70	0.7456
64.90	0.7463
65.20	0.7475
65.40	0.7484
65.70	0.7495
65.90	0.7502
66.20	0.7510
66.40	0.7520
66.70	0.7528
66.90	0.7532
67.20	0.7542
67.40	0.7548
67.70	0.7554
67.90	0.7559
68.20	0.7564
68.40	0.7567
68.70	0.7573
68.90	0.7579
69.20	0.7586
69.40	0.7590
69.70	0.7593
69.90	0.7595
70.20	0.7601
70.40	0.7604
70.70	0.7609
70.90	0.7611
71.20	0.7615
71.40	0.7617
71.70	0.7621
71.90	0.7622
72.20	0.7624
72.40	0.7629
72.70	0.7629
72.90	0.7629
73.20	0.7634
73.40	0.7639
73.70	0.7641
73.90	0.7642
74.20	0.7646
74.40	0.7647
74.70	0.7649
74.90	0.7649
75.20	0.7653
75.40	0.7655
75.70	0.7659
75.90	0.7661
76.20	0.7662
76.40	0.7664
76.70	0.7667
76.90	0.7667
77.20	0.7669
77.40	0.7672
77.70	0.7673
77.90	0.7675
78.20	0.7677
78.40	0.7679
78.70	0.7681
78.90	0.7681
79.20	0.7684
79.40	0.7686
79.70	0.7688
79.90	0.7688
80.20	0.7690
80.40	0.7691
80.70	0.7696
80.90	0.7696
81.20	0.7700
81.40	0.7701
81.70	0.7704
81.90	0.7704
82.20	0.7706
82.40	0.7706
82.70	0.7708
82.90	0.7708
83.20	0.7713
83.40	0.7712
83.70	0.7714
83.90	0.7714
84.20	0.7716
84.40	0.7716
84.70	0.7718
84.90	0.7718
85.20	0.7720
85.40	0.7722
85.70	0.7725
85.90	0.7723
86.20	0.7727
86.40	0.7730
86.70	0.7730
86.90	0.7730
87.20	0.7732
87.40	0.7735
87.70	0.7735
87.90	0.7736
88.20	0.7738
88.40	0.7741
88.70	0.7742
88.90	0.7742
89.20	0.7744
89.40	0.7746
89.70	0.7746
89.90	0.7748
90.20	0.7748
90.40	0.7749
90.70	0.7750
90.90	0.7750
91.20	0.7750
91.40	0.7754
91.70	0.7752
