Date : 8/5/2019	Time : 13:43:29	
C:\UVWINLAB\CG91U1.SP	
20.00	0.6052
20.20	0.6052
20.40	0.6054
20.60	0.6053
20.80	0.6052
21.00	0.6053
21.20	0.6052
21.40	0.6053
21.60	0.6054
21.80	0.6054
22.00	0.6054
22.20	0.6054
22.40	0.6057
22.60	0.6055
22.80	0.6056
23.00	0.6057
23.20	0.6057
23.40	0.6059
23.60	0.6058
23.80	0.6059
24.00	0.6059
24.20	0.6061
24.40	0.6061
24.60	0.6062
24.80	0.6062
25.00	0.6063
25.20	0.6062
25.40	0.6063
25.60	0.6065
25.80	0.6064
26.00	0.6067
26.20	0.6065
26.40	0.6068
26.60	0.6067
26.80	0.6070
27.00	0.6070
27.20	0.6070
27.40	0.6072
27.60	0.6075
27.80	0.6076
28.00	0.6075
28.20	0.6078
28.40	0.6080
28.60	0.6080
28.80	0.6079
29.00	0.6081
29.20	0.6081
29.40	0.6082
29.60	0.6083
29.80	0.6082
30.00	0.6084
30.20	0.6082
30.40	0.6084
30.60	0.6084
30.80	0.6084
31.00	0.6086
31.20	0.6087
31.40	0.6086
31.60	0.6086
31.80	0.6085
32.00	0.6088
32.20	0.6088
32.50	0.6090
32.70	0.6091
33.00	0.6092
33.20	0.6093
33.50	0.6092
33.70	0.6092
34.00	0.6092
34.20	0.6093
34.50	0.6096
34.70	0.6095
35.00	0.6097
35.20	0.6098
35.50	0.6098
35.70	0.6100
36.00	0.6102
36.20	0.6102
36.50	0.6102
36.70	0.6103
37.00	0.6107
37.20	0.6106
37.50	0.6108
37.70	0.6109
38.00	0.6110
38.20	0.6111
38.50	0.6114
38.70	0.6115
39.00	0.6116
39.20	0.6116
39.50	0.6118
39.70	0.6120
40.00	0.6122
40.20	0.6120
40.50	0.6123
40.70	0.6126
41.00	0.6128
41.20	0.6128
41.50	0.6131
41.70	0.6133
42.00	0.6136
42.20	0.6136
42.50	0.6140
42.70	0.6141
43.00	0.6143
43.20	0.6145
43.50	0.6149
43.70	0.6150
44.00	0.6152
44.20	0.6155
44.50	0.6157
44.70	0.6160
45.00	0.6163
45.20	0.6165
45.50	0.6169
45.70	0.6169
46.00	0.6176
46.20	0.6178
46.50	0.6183
46.70	0.6184
47.00	0.6190
47.20	0.6193
47.50	0.6197
47.70	0.6197
48.00	0.6207
48.20	0.6210
48.50	0.6216
48.70	0.6218
49.00	0.6225
49.20	0.6227
49.50	0.6232
49.70	0.6232
50.00	0.6246
50.20	0.6248
50.50	0.6255
50.70	0.6262
51.00	0.6269
51.20	0.6272
51.50	0.6281
51.70	0.6281
52.00	0.6292
52.20	0.6297
52.50	0.6308
52.70	0.6315
53.00	0.6323
53.20	0.6329
53.50	0.6340
53.70	0.6340
54.00	0.6358
54.20	0.6364
54.50	0.6376
54.70	0.6383
55.00	0.6396
55.20	0.6405
55.50	0.6416
55.70	0.6416
56.00	0.6439
56.20	0.6450
56.50	0.6466
56.70	0.6477
57.00	0.6493
57.20	0.6502
57.50	0.6518
57.70	0.6518
58.00	0.6546
58.20	0.6555
58.50	0.6572
58.70	0.6585
59.00	0.6604
59.20	0.6617
59.50	0.6640
59.70	0.6640
60.00	0.6669
60.20	0.6682
60.50	0.6704
60.70	0.6714
61.00	0.6738
61.20	0.6751
61.50	0.6769
61.70	0.6769
62.00	0.6802
62.20	0.6814
62.50	0.6835
62.70	0.6846
63.00	0.6868
63.20	0.6880
63.50	0.6900
63.70	0.6900
64.00	0.6927
64.20	0.6939
64.40	0.6949
64.70	0.6965
64.90	0.6975
65.20	0.6991
65.40	0.7001
65.70	0.7015
65.90	0.7025
66.20	0.7035
66.40	0.7044
66.70	0.7056
66.90	0.7062
67.20	0.7071
67.40	0.7078
67.70	0.7087
67.90	0.7091
68.20	0.7100
68.40	0.7103
68.70	0.7111
68.90	0.7117
69.20	0.7121
69.40	0.7127
69.70	0.7134
69.90	0.7137
70.20	0.7143
70.40	0.7147
70.70	0.7153
70.90	0.7155
71.20	0.7157
71.40	0.7160
71.70	0.7164
71.90	0.7166
72.20	0.7168
72.40	0.7170
72.70	0.7174
72.90	0.7174
73.20	0.7180
73.40	0.7181
73.70	0.7184
73.90	0.7185
74.20	0.7186
74.40	0.7190
74.70	0.7191
74.90	0.7191
75.20	0.7195
75.40	0.7197
75.70	0.7199
75.90	0.7201
76.20	0.7203
76.40	0.7205
76.70	0.7206
76.90	0.7206
77.20	0.7211
77.40	0.7212
77.70	0.7214
77.90	0.7218
78.20	0.7218
78.40	0.7219
78.70	0.7220
78.90	0.7220
79.20	0.7224
79.40	0.7227
79.70	0.7227
79.90	0.7229
80.20	0.7230
80.40	0.7231
80.70	0.7233
80.90	0.7233
81.20	0.7237
81.40	0.7240
81.70	0.7240
81.90	0.7244
82.20	0.7245
82.40	0.7244
82.70	0.7248
82.90	0.7248
83.20	0.7252
83.40	0.7253
83.70	0.7255
83.90	0.7256
84.20	0.7259
84.40	0.7259
84.70	0.7261
84.90	0.7261
85.20	0.7265
85.40	0.7266
85.70	0.7269
85.90	0.7269
86.20	0.7273
86.40	0.7275
86.70	0.7277
86.90	0.7277
87.20	0.7281
87.40	0.7280
87.70	0.7283
87.90	0.7283
88.20	0.7286
88.40	0.7288
88.70	0.7290
