Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.06,0.05
kexAB (s^-1),563,12
R1 (s^-1),1.30,0.05
R2 (s^-1),27.64,0.08
Red. Chi-sq,0.15
