Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.59,0.07
kexAB (s^-1),563,12
R1 (s^-1),1.17,0.06
R2 (s^-1),18.34,0.07
Red. Chi-sq,0.15
