Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),6.73,13.12
kexAB (s^-1),4146,26253
R1 (s^-1),2.05,0.19
R2 (s^-1),17.44,0.98
Red. Chi-sq,1.84
