Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.02,0.06
kexAB (s^-1),1004,30
R1 (s^-1),1.45,0.05
R2 (s^-1),27.39,0.10
Red. Chi-sq,0.17
