Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.490,0.079
dwB (ppm),2.20,0.17
kexAB (s^-1),4016,356
R1 (s^-1),1.80,0.06
R2 (s^-1),22.96,0.22
Red. Chi-sq,0.13
