Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.12,0.11
kexAB (s^-1),568,21
R1 (s^-1),0.67,0.14
R2 (s^-1),20.07,0.19
Red. Chi-sq,0.51
