Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),0.79,0.10
kexAB (s^-1),3658,678
R1 (s^-1),2.56,0.04
R2 (s^-1),20.18,0.12
Red. Chi-sq,0.37
