Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.03,0.08
kexAB (s^-1),3354,452
R1 (s^-1),3.31,0.10
R2 (s^-1),27.80,0.51
Red. Chi-sq,0.97
