Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.51,0.58
kexAB (s^-1),3401,1110
R1 (s^-1),2.05,0.15
R2 (s^-1),21.79,0.36
Red. Chi-sq,0.87
