Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.50,0.12
kexAB (s^-1),4242,539
R1 (s^-1),1.90,0.05
R2 (s^-1),41.34,0.30
Red. Chi-sq,1.32
