Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.59,0.03
kexAB (s^-1),1941,59
R1 (s^-1),2.18,0.07
R2 (s^-1),20.46,0.13
Red. Chi-sq,0.23
