Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.00,0.20
kexAB (s^-1),5020,569
R1 (s^-1),1.83,0.06
R2 (s^-1),29.90,0.37
Red. Chi-sq,0.43
