Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.64,0.10
kexAB (s^-1),2566,208
R1 (s^-1),1.05,0.12
R2 (s^-1),20.97,0.25
Red. Chi-sq,0.27
