Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.27,0.06
kexAB (s^-1),4447,356
R1 (s^-1),3.30,0.09
R2 (s^-1),23.77,0.37
Red. Chi-sq,0.46
