Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.33,0.31
kexAB (s^-1),1572,238
R1 (s^-1),1.32,0.04
R2 (s^-1),21.18,0.08
Red. Chi-sq,0.90
