Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.03,0.58
kexAB (s^-1),1572,238
R1 (s^-1),1.41,0.07
R2 (s^-1),30.43,0.10
Red. Chi-sq,0.90
