Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.31,0.04
kexAB (s^-1),2901,112
R1 (s^-1),1.40,0.07
R2 (s^-1),18.18,0.15
Red. Chi-sq,0.11
