Date : 12/19/2017	Time : 10:51:07	
C:\UVWINLAB\DNA61U1.SP	
15.00	0.6458
15.50	0.6469
16.00	0.6472
16.50	0.6477
17.00	0.6484
17.50	0.6489
18.00	0.6496
18.50	0.6505
19.00	0.6513
19.50	0.6519
20.00	0.6528
20.50	0.6534
21.00	0.6549
21.50	0.6552
22.00	0.6561
22.50	0.6573
23.00	0.6579
23.50	0.6591
24.00	0.6599
24.50	0.6607
25.00	0.6619
25.50	0.6629
26.00	0.6642
26.50	0.6651
27.00	0.6666
27.50	0.6678
28.00	0.6688
28.50	0.6707
29.00	0.6715
29.50	0.6731
30.00	0.6745
30.50	0.6761
31.00	0.6775
31.50	0.6791
32.00	0.6805
32.50	0.6829
33.00	0.6840
33.50	0.6861
34.00	0.6880
34.50	0.6901
35.00	0.6920
35.50	0.6940
36.00	0.6964
36.50	0.6991
37.00	0.7017
37.50	0.7042
38.00	0.7072
38.50	0.7100
39.00	0.7130
39.50	0.7161
40.00	0.7197
40.50	0.7222
41.00	0.7253
41.50	0.7285
42.00	0.7319
42.50	0.7345
43.00	0.7372
43.50	0.7392
44.00	0.7419
44.50	0.7442
45.00	0.7464
45.50	0.7489
46.00	0.7511
46.50	0.7527
47.00	0.7542
47.50	0.7559
48.00	0.7563
48.50	0.7580
49.00	0.7589
49.50	0.7601
50.00	0.7608
50.50	0.7614
51.00	0.7627
51.50	0.7633
52.00	0.7638
52.50	0.7641
53.00	0.7644
53.50	0.7649
54.00	0.7653
54.50	0.7658
55.00	0.7661
55.50	0.7666
56.00	0.7667
56.50	0.7673
57.00	0.7674
57.50	0.7678
58.00	0.7680
58.50	0.7681
59.00	0.7686
59.50	0.7680
60.00	0.7688
60.50	0.7696
61.00	0.7689
61.50	0.7693
62.00	0.7695
62.50	0.7695
63.00	0.7700
63.50	0.7697
64.00	0.7704
64.50	0.7704
65.00	0.7707
65.50	0.7709
66.00	0.7711
66.50	0.7707
67.00	0.7707
67.50	0.7706
68.00	0.7710
68.50	0.7710
69.00	0.7712
69.50	0.7713
70.00	0.7713
Date : 12/19/2017	Time : 12:06:48	


Date : 12/19/2017	Time : 12:06:48	
C:\UVWINLAB\DNA61D1.SP	
70.00	0.7701
69.50	0.7703
69.00	0.7699
68.50	0.7697
68.00	0.7697
67.50	0.7690
67.00	0.7691
66.50	0.7686
66.00	0.7691
65.50	0.7684
65.00	0.7682
64.50	0.7680
64.00	0.7675
63.50	0.7680
63.00	0.7671
62.50	0.7673
62.00	0.7669
61.50	0.7668
61.00	0.7664
60.50	0.7660
60.00	0.7660
59.50	0.7662
59.00	0.7659
58.50	0.7654
58.00	0.7652
57.50	0.7650
57.00	0.7645
56.50	0.7644
56.00	0.7639
55.50	0.7637
55.00	0.7629
54.50	0.7624
54.00	0.7619
53.50	0.7611
53.00	0.7609
52.50	0.7600
52.00	0.7595
51.50	0.7585
51.00	0.7577
50.50	0.7562
50.00	0.7557
49.50	0.7548
49.00	0.7542
48.50	0.7525
