Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.84,0.05
kexAB (s^-1),2243,345
R1 (s^-1),6.01,0.38
R2 (s^-1),11.15,0.80
Red. Chi-sq,43.77
