Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.88,0.03
kexAB (s^-1),50,4
R1 (s^-1),2.32,0.10
R2 (s^-1),28.04,0.13
Red. Chi-sq,0.61
