Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.01,0.83
kexAB (s^-1),2117,830
R1 (s^-1),3.31,0.16
R2 (s^-1),15.11,0.46
Red. Chi-sq,5.66
