Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.92,0.07
kexAB (s^-1),111,3
R1 (s^-1),1.57,0.12
R2 (s^-1),22.63,0.14
Red. Chi-sq,0.61
