Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.84,0.01
kexAB (s^-1),8,3
R1 (s^-1),1.84,0.12
R2 (s^-1),35.28,0.17
Red. Chi-sq,4.70
